"Number of Establishments with 20 or More Workers that Provided Job-Related Trainings by Major Industry Group, Philippines: 2021"

"Major Industry Group";"2021 Total Establishments";"2021 Establishments Providing Job-Related Trainings"
"ALL INDUSTRIES";36342;11526
"..Agriculture, Forestry and Fishing";1125;295
"..Mining and Quarrying";165;64
"..Manufacturing";6213;1770
"..Electricity, Gas, Steam and Air Conditioning Supply";296;182
"..Water Supply; Sewerage, Waste Management and Remediation Activities";376;192
"..Construction";1238;430
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";10198;2519
"..Transportation and Storage";1302;295
"..Accommodation and Food Service Activities";3620;1143
"..Information and Communication";865;241
"..Financial and Insurance Activities";1855;870
"..Real Estate Activities";676;202
"..Professional, Scientific and Technical Activities";752;265
"..Administrative and Support Services Activities";2530;755
"..Education except Public Education";3234;1555
"..Human Health and Social Work Activities except Public Health Activities";1365;644
"..Arts, Entertainment and Recreation";251;55
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";.;.
"..Other Service Activities except Activities of Membership Organizations";280;50
